semaforo,localizacao1,localizacao2,bairro,latitude,longitude,tipo,funcionamento,Unnamed: 8,status
283,Estrada do Arraial,Rua Paula Batista,CASA AMARELA,-8.026721,-34.916176,E/Git,Veicular,1.0,funcionando
284,Av. Nossa Senhora do Carmo,Av. Dantas Barreto,SANTO ANTÔNIO,-8.065891,-34.879036,E/Git,Veic.C/Ped.,1.0,funcionando
285,Rua Falcão de Lacerda,Rua 15 de Novembro,TEJIPIÓ,-8.092065,-34.96148,E,Veicular,1.0,funcionando
286,Av. Mascarenhas de Morais,Rua Arquiteto Fernando Almeida,IMBIRIBEIRA,-8.088045,-34.907803,E/Git,Veicular,1.0,funcionando
287,Av. Mascarenhas de Morais,Rua Missionário Joel Carlson,IMBIRIBEIRA,-8.096481,-34.909728,E/Git,Veic.C/Ped.Ocas.,1.0,funcionando
288,Av. Mascarenhas de Morais,Rua Engº.Alves de Souza,IMBIRIBEIRA,-8.098453,-34.910102,E/Git,Veicular,1.0,funcionando
289,Av. Mascarenhas de Morais,Rua Dr. Tavares Correia,IMBIRIBEIRA,-8.115595,-34.913309,E/Git,Veic.C/Ped.Ocas.,1.0,funcionando
290,Av. Mascarenhas de Morais,Rua Jornalista Cleóphas de Oliveira,IMBIRIBEIRA,-8.116233,-34.913346,E/Git,Veicular,1.0,funcionando
291,Estrada do Arraial,Em frente ao Colégio Dom Bosco,CASA AMARELA,-8.028431,-34.910696,E/Git,Ocasional/Ped.,1.0,funcionando
292,Av. Rui Barbosa,Av. Dr. Malaquias,GRAÇAS,-8.039897,-34.904022,E/Git,Veicular,1.0,funcionando
293,Rua Pintor Antônio Albuquerque,Rua Hélio Brandão,VILA DO IPSEP,-8.107744,-34.925727,E/Git,Veicular,,funcionando
294,Rua Dom Bosco,Rua Henrique Dias,BOA VISTA,-8.058036,-34.89459,E/Git,Veicular,1.0,funcionando
295,Estrada do Arraial,Rua Desemb. Góis Cavalcante,TAMARINEIRA,-8.030112,-34.907056,E/Git,Ocasional/Ped.,1.0,funcionando
296,Av. Norte Miguel Arraes de Alencar,Rua Maria Candida,MACAXEIRA,-8.012567,-34.931804,E/Git,Veicular,1.0,funcionando
297,Av. Domingos Ferreira,Gilson M. Guimarães (antigo SUPERBOX),BOA VIAGEM,-8.105434,-34.889648,E/Git,Veic.C/Ped.Paral.,1.0,funcionando
298,Rua Ribeiro de Brito,Rua Visconde de Jequitinhonha,BOA VIAGEM,-8.122987,-34.903879,E/Git,Veicular,1.0,funcionando
